,Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA,Category,Directory
8,2020,213.90760971208445,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
9,2021,234.4602392264423,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
10,2022,271.4446479650705,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
11,2023,310.87429384419016,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
12,2024,352.67397336560794,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
13,2025,387.3895064051944,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
14,2026,443.08261934256274,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
15,2027,491.5411788017125,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
16,2028,542.0689579103861,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
17,2029,594.5907531703895,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
18,2030,647.5912368744985,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
19,2031,705.3155781516111,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
20,2032,763.3682008764425,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
21,2033,823.1140257598296,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
22,2034,884.4778493035782,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
23,2035,946.5011239699634,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
24,2036,1011.7586783793868,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
25,2037,1077.5252769150597,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
26,2038,1144.6090601183193,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
27,2039,1212.9348244909731,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
28,2040,1300.607057106349,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
29,2041,1353.0114827516875,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
30,2042,1424.6119696433611,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
31,2043,1497.1536237116543,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
32,2044,1570.5612414583727,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
33,2045,1646.6017455812073,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
34,2046,1719.6735539943127,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
35,2047,1795.2278417871466,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
36,2048,1871.347279265632,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
37,2049,1947.956662931575,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
38,2050,2024.9807892867825,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
39,2051,2104.5205034259207,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
40,2052,2179.9724560722148,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
41,2053,2257.7895895060524,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
42,2054,2335.72065163638,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
43,2055,2413.690438965003,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
44,2056,2491.623747993729,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
45,2057,2569.445375224364,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
46,2058,2647.080117158713,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
47,2059,2724.4527702985847,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
48,2060,2801.4881311457843,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
