,VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low,Category,Directory
4,5,Lifetime_Capacity_SOLUTION,Lifetime Capacity - SOLUTION,True,False,50000.0,50000.0,50000.0,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
5,6,Average_Annual_Use_CONVENTIONAL,Average Annual Use - CONVENTIONAL,True,False,1000.0,1000.0,1000.0,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
6,7,Average_Annual_Use_SOLUTION,Average Annual Use - SOLUTION,True,False,1000.0,1000.0,1000.0,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
7,8,CONVENTIONAL_VARIABLE_Operating_Cost_per_Functional_Unit,CONVENTIONAL VARIABLE Operating Cost per Functional Unit,True,True,0.0051813527773320895,0.008889024227952763,0.0014736813267114167,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
8,9,SOLUTION_VARIABLE_Operating_Cost_per_Functional_Unit,SOLUTION VARIABLE Operating Cost per Functional Unit ,True,False,0.0019107061503416851,0.0019107061503416851,0.0019107061503416851,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
9,10,CONVENTIONAL_FIXED_Operating_Cost_per_Implementation_Unit,CONVENTIONAL FIXED Operating Cost per Implementation Unit,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
10,11,SOLUTION_FIXED_Operating_Cost_per_Implementation_Unit,SOLUTION FIXED Operating Cost per Implementation Unit ,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
11,12,Electricty_Consumed_per_Functional_Unit_CONVENTIONAL,Electricty Consumed per Functional Unit - CONVENTIONAL,True,True,39.48102556780074,67.61380487744131,11.348246258160176,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
12,13,Energy_Efficiency_Factor_SOLUTION,Energy Efficiency Factor - SOLUTION,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
13,14,Total_Energy_Used_per_functional_unit_SOLUTION,Total Energy Used per functional unit - SOLUTION,True,False,13.966416257867207,18.285753963611885,9.64707855212253,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
14,15,Fuel_Consumed_per_Functional_Unit_CONVENTIONAL,Fuel Consumed per Functional Unit - CONVENTIONAL,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
15,16,Fuel_Efficiency_Factor_SOLUTION,Fuel Efficiency Factor - SOLUTION,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
16,17,Direct_Emissions_per_CONVENTIONAL_Functional_Unit,Direct Emissions per CONVENTIONAL Functional Unit,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
17,18,Direct_Emissions_per_SOLUTION_Functional_Unit,Direct Emissions per SOLUTION Functional Unit,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
18,19,Indirect_CO2_Emissions_per_CONVENTIONAL_Implementation_OR_functional_Unit_CHOOSE_ONLY_ONE_on_Advanced_Controls,Indirect CO2 Emissions per CONVENTIONAL Implementation OR functional Unit -- CHOOSE ONLY ONE on Advanced Controls,True,True,633629.7441857421,1751445.2916220156,391.24087591240885,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
19,20,Indirect_CO2_Emissions_per_SOLUTION_Implementation_Unit_Select_on_Advanced_Controls,Indirect CO2 Emissions per SOLUTION Implementation Unit (Select on Advanced Controls),True,False,588343.040378007,743623.0707572228,433063.00999879115,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
20,21,CH4_CO2eq_Tons_Reduced,CH4-CO2eq Tons Reduced,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
21,22,N2O_CO2eq_Tons_Reduced,N2O-CO2eq Tons Reduced,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
22,23,CONVENTIONAL_Revenue_per_Functional_Unit,CONVENTIONAL Revenue per Functional Unit,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
23,24,SOLUTION_Revenue_per_Functional_Unit,SOLUTION Revenue per Functional Unit,False,False,,,,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
24,25,Future_estimates_of_First_cost_LED,Future estimates of First cost - LED,True,False,7683062988095.237,10282205755673.033,5083920220517.443,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
25,26,LED_Lamp_Efficacy,LED Lamp Efficacy,True,False,73.16666666666667,95.14329566708942,51.190037666243924,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
